Compound,Date,Negative,Neutral,Positive,Tweet Count,User
-0.2732,Wed Dec 13 20:17:04 +0000 2017,0.08,0.92,0.0,84,@foxnews
-0.1027,Wed Dec 13 20:17:03 +0000 2017,0.08,0.92,0.0,85,@foxnews
0.3182,Wed Dec 13 20:17:03 +0000 2017,0.0,0.892,0.108,86,@foxnews
-0.5812,Wed Dec 13 20:17:03 +0000 2017,0.209,0.791,0.0,87,@foxnews
0.0,Wed Dec 13 20:17:02 +0000 2017,0.0,1.0,0.0,88,@foxnews
0.6486,Wed Dec 13 20:17:01 +0000 2017,0.0,0.773,0.227,89,@foxnews
0.0,Wed Dec 13 20:17:01 +0000 2017,0.0,1.0,0.0,90,@foxnews
0.6705,Wed Dec 13 20:17:00 +0000 2017,0.0,0.784,0.216,91,@foxnews
-0.8516,Wed Dec 13 20:17:00 +0000 2017,0.383,0.617,0.0,92,@foxnews
-0.5106,Wed Dec 13 20:17:00 +0000 2017,0.623,0.377,0.0,93,@foxnews
0.296,Wed Dec 13 20:16:59 +0000 2017,0.0,0.864,0.136,94,@foxnews
-0.3182,Wed Dec 13 20:16:58 +0000 2017,0.103,0.897,0.0,95,@foxnews
0.0,Wed Dec 13 20:16:57 +0000 2017,0.0,1.0,0.0,96,@foxnews
0.0,Wed Dec 13 20:16:56 +0000 2017,0.0,1.0,0.0,97,@foxnews
0.4767,Wed Dec 13 20:16:56 +0000 2017,0.0,0.744,0.256,98,@foxnews
0.6705,Wed Dec 13 20:16:56 +0000 2017,0.0,0.784,0.216,99,@foxnews
-0.7351,Wed Dec 13 20:16:56 +0000 2017,0.237,0.763,0.0,100,@foxnews
